SL. No,Age,Education ,Employment ,Income,Marital status ,Violence 
1,30,secondary,unemployed,0,married,yes
2,47,tertiary,unemployed,0,married,no
3,24,tertiary,unemployed,0,unmarred,no
4,22,tertiary,unemployed,0,unmarred,no
5,50,primary,unemployed,0,married,yes
6,21,tertiary,unemployed,0,unmarred,yes
7,30,tertiary,unemployed,0,married,no
8,27,tertiary,unemployed,0,married,no
9,20,tertiary,unemployed,0,unmarred,no
10,18,secondary,unemployed,0,married,no
11,40,primary,unemployed,0,married,no
12,45,primary,unemployed,0,married,yes
13,45,none,unemployed,0,married,no
14,40,none,unemployed,0,married,yes
15,50,primary,unemployed,0,married,yes
16,43,primary,unemployed,0,married,no
17,18,secondary,unemployed,0,unmarred,no
18,15,secondary,unemployed,0,unmarred,no
19,44,primary,unemployed,0,married,no
20,35,secondary,unemployed,0,married,no
21,40,primary,unemployed,0,married,no
22,50,none,unemployed,0,married,yes
23,40,tertiary,unemployed,0,married,yes
24,35,none,unemployed,0,married,yes
25,44,primary,unemployed,0,married,no
26,23,secondary,unemployed,0,married,yes
27,24,primary,unemployed,0,married,yes
28,19,secondary,unemployed,0,unmarred,no
29,27,secondary,unemployed,0,married,no
30,20,secondary,unemployed,0,married,no
31,18,secondary,unemployed,0,married,no
32,23,secondary,unemployed,0,married,no
33,19,secondary,unemployed,0,married,no
34,19,secondary,unemployed,0,married,no
35,50,primary,unemployed,0,married,yes
36,25,secondary,unemployed,0,married,no
37,19,secondary,unemployed,0,unmarred,no
38,30,primary,unemployed,0,married,yes
39,24,primary,unemployed,0,married,no
40,23,tertiary,unemployed,0,unmarred,no
41,20,secondary,unemployed,0,unmarred,no
42,50,none,unemployed,0,married,yes
43,21,secondary,unemployed,0,unmarred,no
44,32,tertiary,unemployed,0,unmarred,no
45,30,tertiary,unemployed,0,unmarred,no
46,25,secondary,unemployed,0,married,no
47,26,secondary,unemployed,0,married,yes
48,40,primary,unemployed,0,married,yes
49,50,primary,unemployed,0,married,yes
50,43,none,unemployed,0,married,yes
51,35,tertiary,unemployed,0,married,yes
52,40,primary,unemployed,0,married,yes
53,40,secondary,unemployed,0,married,yes
54,25,secondary,unemployed,0,married,no
55,23,secondary,unemployed,0,married,no
56,37,tertiary,unemployed,0,married,yes
57,33,primary,unemployed,0,married,yes
58,23,secondary,unemployed,0,married,no
59,42,none,unemployed,0,married,yes
60,33,primary,unemployed,0,married,yes
61,30,primary,unemployed,0,married,yes
62,33,secondary,unemployed,0,married,no
63,23,secondary,unemployed,0,married,no
64,22,tertiary,unemployed,0,married,yes
65,19,secondary,unemployed,0,married,yes
66,25,primary,unemployed,0,married,yes
67,30,secondary,unemployed,0,married,yes
68,40,secondary,unemployed,0,married,no
69,27,primary,unemployed,0,married,yes
70,24,primary,unemployed,0,married,yes
71,30,primary,unemployed,0,married,no
72,35,primary,unemployed,0,married,yes
73,50,primary,unemployed,0,married,yes
74,47,primary,unemployed,0,married,yes
75,20,secondary,unemployed,0,married,no
76,23,secondary,unemployed,0,married,no
77,30,tertiary,unemployed,0,married,no
78,40,primary,unemployed,0,married,yes
79,54,primary,unemployed,0,married,yes
80,33,primary,unemployed,0,married,no
81,40,none,unemployed,0,married,no
82,35,none,unemployed,0,married,no
83,22,primary,unemployed,0,married,no
84,34,none,unemployed,0,married,no
85,45,primary,unemployed,0,married,no
86,27,none,unemployed,0,married,no
87,45,none,unemployed,0,married,no
88,39,primary,unemployed,0,married,yes
89,37,none,unemployed,0,married,no
90,21,secondary,unemployed,0,unmarred,no
91,29,none,unemployed,0,married,no
92,23,primary,unemployed,0,married,no
93,51,none,unemployed,0,married,no
94,33,primary,unemployed,0,unmarred,no
95,25,secondary,unemployed,0,married,no
96,26,none,unemployed,0,married,no
97,50,none,unemployed,0,married,no
98,29,primary,unemployed,0,married,no
99,28,primary,unemployed,0,married,no
100,18,none,unemployed,0,married,no
101,35,none,unemployed,0,married,yes
102,34,tertiary,unemployed,0,married,no
103,25,none,unemployed,0,married,no
104,46,primary,unemployed,0,married,yes
105,19,secondary,unemployed,0,married,no
106,40,none,unemployed,0,married,no
107,22,primary,unemployed,0,married,no
108,18,primary,unemployed,0,married,yes
109,30,tertiary,unemployed,0,married,no
110,21,secondary,unemployed,0,unmarred,no
111,55,none,unemployed,0,married,no
112,32,none,unemployed,0,married,no
113,35,none,unemployed,0,married,no
114,18,secondary,unemployed,0,unmarred,no
115,35,primary,unemployed,0,married,no
116,36,none,unemployed,0,married,no
117,50,primary,unemployed,0,married,no
118,30,secondary,unemployed,0,married,no
