Age,Education ,Employment ,Income,Marital status ,Violence 
30,2,2,0,0,1
47,3,2,0,0,0
24,3,2,0,1,0
22,3,2,0,1,0
50,1,2,0,0,1
21,3,2,0,1,1
30,3,2,0,0,0
27,3,2,0,0,0
20,3,2,0,1,0
18,2,2,0,0,0
40,1,2,0,0,0
45,1,2,0,0,1
45,0,2,0,0,0
40,0,2,0,0,1
50,1,2,0,0,1
43,1,2,0,0,0
18,2,2,0,1,0
15,2,2,0,1,0
44,1,2,0,0,0
35,2,2,0,0,0
40,1,2,0,0,0
50,0,2,0,0,1
40,3,2,0,0,1
35,0,2,0,0,1
44,1,2,0,0,0
23,2,2,0,0,1
24,1,2,0,0,1
19,2,2,0,1,0
27,2,2,0,0,0
20,2,2,0,0,0
18,2,2,0,0,0
23,2,2,0,0,0
19,2,2,0,0,0
19,2,2,0,0,0
50,1,2,0,0,1
25,2,2,0,0,0
19,2,2,0,1,0
30,1,2,0,0,1
24,1,2,0,0,0
23,3,2,0,1,0
20,2,2,0,1,0
50,0,2,0,0,1
21,2,2,0,1,0
32,3,2,0,1,0
30,3,2,0,1,0
25,2,2,0,0,0
26,2,2,0,0,1
40,1,2,0,0,1
50,1,2,0,0,1
43,0,2,0,0,1
35,3,2,0,0,1
40,1,2,0,0,1
40,2,2,0,0,1
25,2,2,0,0,0
23,2,2,0,0,0
37,3,2,0,0,1
33,1,2,0,0,1
23,2,2,0,0,0
42,0,2,0,0,1
33,1,2,0,0,1
30,1,2,0,0,1
33,2,2,0,0,0
23,2,2,0,0,0
22,3,2,0,0,1
19,2,2,0,0,1
25,1,2,0,0,1
30,2,2,0,0,1
40,2,2,0,0,0
27,1,2,0,0,1
24,1,2,0,0,1
30,1,2,0,0,0
35,1,2,0,0,1
50,1,2,0,0,1
47,1,2,0,0,1
20,2,2,0,0,0
23,2,2,0,0,0
30,3,2,0,0,0
40,1,2,0,0,1
54,1,2,0,0,1
33,1,2,0,0,0
40,0,2,0,0,0
35,0,2,0,0,0
22,1,2,0,0,0
34,0,2,0,0,0
45,1,2,0,0,0
27,0,2,0,0,0
45,0,2,0,0,0
39,1,2,0,0,1
37,0,2,0,0,0
21,2,2,0,1,0
29,0,2,0,0,0
23,1,2,0,0,0
51,0,2,0,0,0
33,1,2,0,1,0
25,2,2,0,0,0
26,0,2,0,0,0
50,0,2,0,0,0
29,1,2,0,0,0
28,1,2,0,0,0
18,0,2,0,0,0
35,0,2,0,0,1
34,3,2,0,0,0
25,0,2,0,0,0
46,1,2,0,0,1
19,2,2,0,0,0
40,0,2,0,0,0
22,1,2,0,0,0
18,1,2,0,0,1
30,3,2,0,0,0
21,2,2,0,1,0
55,0,2,0,0,0
32,0,2,0,0,0
35,0,2,0,0,0
18,2,2,0,1,0
35,1,2,0,0,0
36,0,2,0,0,0
50,1,2,0,0,0
30,2,2,0,0,0
24,3,2,0,1,0
47,0,2,0,0,0
30,0,2,0,0,0
30,3,2,0,0,0
35,1,2,0,0,0
55,0,2,0,0,1
19,2,2,0,1,0
19,2,2,0,1,0
38,1,2,0,0,0
25,0,2,0,0,0
35,0,2,0,0,0
30,1,2,0,0,0
24,0,2,0,0,0
20,1,2,0,0,0
40,0,2,0,0,0
56,0,2,0,0,0
15,1,2,0,1,1
26,2,2,0,0,0
60,1,2,0,0,0
44,1,2,0,0,0
17,2,2,0,1,0
45,1,2,0,0,0
19,0,2,0,0,1
43,0,2,0,0,0
22,0,2,0,0,0
44,1,2,0,0,0
30,2,2,0,0,0
39,0,2,0,0,0
40,0,2,0,0,0
42,0,2,0,0,0
18,2,2,0,1,0
30,1,2,0,0,0
25,0,2,0,0,0
51,1,2,0,0,0
23,3,2,0,0,0
33,0,2,0,0,0
25,3,2,0,1,0
50,0,2,0,0,1
45,1,2,0,0,1
30,3,2,0,0,0
26,3,2,0,0,0
35,2,2,0,0,0
32,2,2,0,0,0
26,2,2,0,0,0
23,1,2,0,0,0
20,1,2,0,0,0
22,1,2,0,0,0
19,1,2,0,0,0
35,1,2,0,0,0
25,1,2,0,0,0
47,1,2,0,0,1
44,1,2,0,0,0
33,1,2,0,0,0
28,1,2,0,0,0
19,3,2,0,1,0
35,1,2,0,0,1
40,1,2,0,0,1
