,age,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,capital.gain,capital.loss,income
0,90,9,6,14,1,4,0,40,0,4356,0
1,82,9,6,3,1,4,0,18,0,4356,0
2,66,10,6,14,4,2,0,40,0,4356,0
3,54,4,0,6,4,4,0,40,0,3900,0
4,41,10,5,9,3,4,0,40,0,3900,0
5,34,9,0,7,4,4,0,45,0,3770,0
6,38,6,5,0,4,4,1,40,0,3770,0
7,74,16,4,9,2,4,0,20,0,3683,1
8,68,9,0,9,1,4,0,40,0,3683,0
9,41,10,4,2,4,4,1,60,0,3004,1
10,45,16,0,9,4,2,0,35,0,3004,1
11,38,15,4,9,1,4,1,45,0,2824,1
12,52,13,6,7,1,4,0,20,0,2824,1
13,32,14,5,3,1,4,1,55,0,2824,1
14,51,16,4,14,1,4,1,40,0,2824,1
15,46,15,0,9,1,4,1,40,0,2824,1
16,45,7,0,13,1,4,1,76,0,2824,1
17,57,14,0,3,1,4,1,50,0,2824,1
18,22,12,4,5,1,2,1,40,0,2824,1
19,34,13,5,11,1,4,1,50,0,2824,1
20,37,13,4,3,1,4,1,40,0,2824,1
21,29,7,5,11,1,4,0,42,0,2754,0
22,61,9,0,11,4,4,0,25,0,2754,0
23,51,10,2,13,0,4,1,40,0,2603,0
24,61,9,2,14,0,4,1,32,0,2603,0
25,21,11,2,2,0,4,1,40,0,2603,0
26,33,2,2,2,1,4,1,32,0,2603,0
27,49,3,2,7,0,4,1,40,0,2603,0
28,37,6,4,13,1,4,1,50,0,2559,1
29,38,6,4,9,1,4,1,90,0,2559,1
30,23,10,5,7,1,4,1,40,0,2559,1
31,59,6,6,3,4,4,0,50,0,2559,1
32,52,15,0,3,1,4,1,60,0,2559,1
33,51,13,0,3,1,4,1,50,0,2559,1
34,60,9,4,3,1,2,1,50,0,2559,1
35,63,16,0,3,1,4,0,60,0,2559,1
36,53,9,4,11,1,4,1,48,0,2559,1
37,51,15,4,9,1,4,0,50,0,2559,1
38,37,16,4,9,1,4,0,60,0,2559,1
39,54,14,0,9,1,4,0,40,0,2559,1
40,44,13,0,3,4,4,1,50,0,2547,1
41,43,14,0,3,4,4,0,40,0,2547,1
42,51,10,0,0,4,4,0,40,0,2547,1
43,43,14,0,9,4,4,0,40,0,2547,1
44,71,9,2,14,0,4,1,15,0,2489,0
45,48,13,3,11,4,4,0,70,0,2472,1
46,71,9,2,11,0,4,1,52,0,2467,0
47,73,9,2,4,0,1,1,40,0,2457,0
48,68,10,2,14,5,4,0,40,0,2457,0
49,67,10,2,14,0,4,1,40,0,2457,0
50,40,15,4,9,1,4,1,45,0,2444,1
51,50,9,6,11,1,4,0,72,0,2444,1
52,51,11,0,12,1,4,1,39,0,2444,1
53,42,10,4,3,1,4,0,40,0,2444,1
54,39,14,4,11,1,4,1,45,0,2444,1
55,32,13,4,3,2,4,1,50,0,2444,1
56,53,10,5,2,1,4,1,45,0,2444,1
57,40,10,4,10,1,4,1,40,0,2444,1
58,38,13,4,11,1,4,0,45,0,2444,1
59,33,11,5,2,1,4,1,42,0,2444,1
60,43,12,0,2,1,4,1,70,0,2444,1
61,50,7,4,3,2,4,1,40,0,2444,1
62,44,10,2,0,5,4,0,6,0,2415,1
63,51,13,2,11,0,1,1,40,0,2415,1
64,41,15,2,9,0,4,1,40,0,2415,1
65,60,11,2,6,0,4,1,70,0,2415,1
66,37,14,2,3,0,4,1,60,0,2415,1
67,55,15,2,9,0,4,1,35,0,2415,1
68,39,13,2,11,0,4,1,60,0,2415,1
69,42,15,2,9,0,4,1,60,0,2415,1
70,49,13,2,11,0,4,1,55,0,2415,1
71,47,9,2,3,0,4,1,50,0,2415,1
72,41,15,2,9,0,4,1,45,0,2415,1
73,55,13,2,3,0,4,1,50,0,2415,1
74,39,14,2,3,5,4,0,65,0,2415,1
75,42,13,2,3,0,4,1,60,0,2415,1
76,41,11,2,14,0,4,1,12,0,2415,1
77,46,14,2,11,0,4,1,65,0,2415,1
78,40,14,2,3,0,4,1,45,0,2415,1
79,32,13,2,9,0,4,1,48,0,2415,1
80,41,10,2,3,0,4,1,55,0,2415,1
81,60,15,2,9,0,4,1,80,0,2415,1
82,31,14,2,3,0,4,1,70,0,2415,1
83,58,10,2,4,0,4,1,40,0,2415,1
84,37,13,2,11,0,4,1,50,0,2415,1
85,44,13,2,3,0,4,1,50,0,2415,1
86,39,15,2,9,0,4,1,50,0,2415,1
87,43,15,2,9,0,1,1,55,0,2415,1
88,55,13,2,3,0,4,1,50,0,2415,1
89,44,14,2,9,0,4,1,55,0,2415,1
90,39,15,2,9,0,1,1,67,0,2415,1
91,46,13,2,11,0,4,1,40,0,2415,1
92,39,10,2,4,0,4,1,99,0,2415,1
93,62,13,2,4,0,4,1,60,0,2415,1
94,31,9,2,7,5,4,0,40,0,2415,1
95,46,13,2,0,0,1,1,35,0,2415,1
96,46,15,2,9,0,4,1,80,0,2415,1
97,39,11,2,2,0,4,1,40,0,2415,1
98,39,15,2,11,0,4,1,99,0,2415,1
99,59,16,2,9,0,4,1,45,0,2415,1
100,50,15,2,9,0,4,1,60,0,2415,1
101,46,16,2,9,0,4,1,55,0,2415,1
102,53,13,2,3,0,4,1,40,0,2415,1
103,50,15,2,9,0,4,1,30,0,2415,1
104,41,15,2,3,5,4,0,55,0,2415,1
105,36,13,2,11,0,4,1,45,0,2415,1
106,38,15,2,9,0,4,1,90,0,2415,1
107,54,10,2,11,0,4,1,50,0,2415,1
108,50,13,2,3,5,4,0,20,0,2415,1
109,47,13,2,3,0,4,1,60,0,2415,1
110,47,15,2,9,0,4,1,45,0,2415,1
111,67,13,6,3,1,4,1,40,0,2392,1
112,67,13,2,3,0,4,1,75,0,2392,1
113,72,16,2,9,0,4,1,25,0,2392,1
114,72,16,2,14,0,4,1,6,0,2392,1
115,46,14,2,3,0,4,1,50,0,2392,1
116,78,13,2,3,0,4,1,40,0,2392,1
117,71,13,2,3,0,4,1,60,0,2392,1
118,83,13,2,3,0,4,1,55,0,2392,1
119,68,14,2,3,0,4,1,40,0,2392,1
120,26,11,2,0,0,4,1,45,0,2377,0
121,68,16,2,9,0,4,1,60,0,2377,1
122,49,9,2,0,5,4,0,40,0,2377,1
123,36,9,2,9,0,4,1,60,0,2377,0
124,70,13,2,2,0,4,1,12,0,2377,1
125,27,10,2,0,5,2,0,20,0,2377,0
126,35,10,2,3,0,4,1,40,0,2377,0
127,23,9,2,11,0,4,1,40,0,2377,0
128,81,9,2,3,0,4,1,26,0,2377,1
129,66,16,2,11,0,4,1,25,0,2377,1
130,71,9,2,3,0,4,1,45,0,2377,1
131,68,10,2,11,0,4,1,55,0,2377,1
132,68,14,2,9,0,4,1,42,0,2377,1
133,65,13,2,14,0,4,1,40,0,2377,1
134,52,9,2,11,0,2,1,40,0,2377,0
135,40,12,2,2,0,4,1,50,0,2377,0
136,68,13,2,14,0,4,1,35,0,2377,1
137,21,10,2,3,0,4,1,48,0,2377,0
138,35,9,2,2,0,4,1,40,0,2377,0
139,70,13,2,3,0,4,1,50,0,2377,1
140,61,9,2,4,0,4,1,50,0,2352,0
141,65,9,2,4,0,4,1,65,0,2352,0
142,46,3,0,2,1,4,0,45,0,2339,0
143,26,13,4,9,1,4,1,55,0,2339,0
144,59,9,6,4,4,4,1,40,0,2339,0
145,61,3,4,5,1,2,1,40,0,2339,0
146,60,13,0,9,1,4,0,40,0,2339,0
147,49,10,0,3,1,4,1,50,0,2339,0
