True,Age,Education ,Employment ,Income,Marital status ,Violence 
0,0.33333333333333337,2,3,0,0,1
1,0.7111111111111111,3,3,0,0,0
2,0.19999999999999996,3,3,0,1,0
3,0.15555555555555556,3,3,0,1,0
4,0.7777777777777778,1,3,0,0,1
5,0.1333333333333333,3,3,0,1,1
6,0.33333333333333337,3,3,0,0,0
7,0.2666666666666666,3,3,0,0,0
8,0.1111111111111111,3,3,0,1,0
9,0.06666666666666665,2,3,0,0,0
10,0.5555555555555556,1,3,0,0,0
11,0.6666666666666666,1,3,0,0,1
12,0.6666666666666666,0,3,0,0,0
13,0.5555555555555556,0,3,0,0,1
14,0.7777777777777778,1,3,0,0,1
15,0.6222222222222222,1,3,0,0,0
16,0.06666666666666665,2,3,0,1,0
17,0.0,2,3,0,1,0
18,0.6444444444444445,1,3,0,0,0
19,0.4444444444444444,2,3,0,0,0
20,0.5555555555555556,1,3,0,0,0
21,0.7777777777777778,0,3,0,0,1
22,0.5555555555555556,3,3,0,0,1
23,0.4444444444444444,0,3,0,0,1
24,0.6444444444444445,1,3,0,0,0
25,0.1777777777777778,2,3,0,0,1
26,0.19999999999999996,1,3,0,0,1
27,0.08888888888888885,2,3,0,1,0
28,0.2666666666666666,2,3,0,0,0
29,0.1111111111111111,2,3,0,0,0
30,0.06666666666666665,2,3,0,0,0
31,0.1777777777777778,2,3,0,0,0
32,0.08888888888888885,2,3,0,0,0
33,0.08888888888888885,2,3,0,0,0
34,0.7777777777777778,1,3,0,0,1
35,0.2222222222222222,2,3,0,0,0
36,0.08888888888888885,2,3,0,1,0
37,0.33333333333333337,1,3,0,0,1
38,0.19999999999999996,1,3,0,0,0
39,0.1777777777777778,3,3,0,1,0
40,0.1111111111111111,2,3,0,1,0
41,0.7777777777777778,0,3,0,0,1
42,0.1333333333333333,2,3,0,1,0
43,0.37777777777777777,3,3,0,1,0
44,0.33333333333333337,3,3,0,1,0
45,0.2222222222222222,2,3,0,0,0
46,0.24444444444444446,2,3,0,0,1
47,0.5555555555555556,1,3,0,0,1
48,0.7777777777777778,1,3,0,0,1
49,0.6222222222222222,0,3,0,0,1
50,0.4444444444444444,3,3,0,0,1
51,0.5555555555555556,1,3,0,0,1
52,0.5555555555555556,2,3,0,0,1
53,0.2222222222222222,2,3,0,0,0
54,0.1777777777777778,2,3,0,0,0
55,0.48888888888888893,3,3,0,0,1
56,0.4,1,3,0,0,1
57,0.1777777777777778,2,3,0,0,0
58,0.6,0,3,0,0,1
59,0.4,1,3,0,0,1
60,0.33333333333333337,1,3,0,0,1
61,0.4,2,3,0,0,0
62,0.1777777777777778,2,3,0,0,0
63,0.15555555555555556,3,3,0,0,1
64,0.08888888888888885,2,3,0,0,1
65,0.2222222222222222,1,3,0,0,1
66,0.33333333333333337,2,3,0,0,1
67,0.5555555555555556,2,3,0,0,0
68,0.2666666666666666,1,3,0,0,1
69,0.19999999999999996,1,3,0,0,1
70,0.33333333333333337,1,3,0,0,0
71,0.4444444444444444,1,3,0,0,1
72,0.7777777777777778,1,3,0,0,1
73,0.7111111111111111,1,3,0,0,1
74,0.1111111111111111,2,3,0,0,0
75,0.1777777777777778,2,3,0,0,0
76,0.33333333333333337,3,3,0,0,0
77,0.5555555555555556,1,3,0,0,1
78,0.8666666666666666,1,3,0,0,1
79,0.4,1,3,0,0,0
80,0.5555555555555556,0,3,0,0,0
81,0.4444444444444444,0,3,0,0,0
82,0.15555555555555556,1,3,0,0,0
83,0.42222222222222217,0,3,0,0,0
84,0.6666666666666666,1,3,0,0,0
85,0.2666666666666666,0,3,0,0,0
86,0.6666666666666666,0,3,0,0,0
87,0.5333333333333333,1,3,0,0,1
88,0.48888888888888893,0,3,0,0,0
89,0.1333333333333333,2,3,0,1,0
90,0.3111111111111111,0,3,0,0,0
91,0.1777777777777778,1,3,0,0,0
92,0.7999999999999999,0,3,0,0,0
93,0.4,1,3,0,1,0
94,0.2222222222222222,2,3,0,0,0
95,0.24444444444444446,0,3,0,0,0
96,0.7777777777777778,0,3,0,0,0
97,0.3111111111111111,1,3,0,0,0
98,0.28888888888888886,1,3,0,0,0
99,0.06666666666666665,0,3,0,0,0
100,0.4444444444444444,0,3,0,0,1
101,0.42222222222222217,3,3,0,0,0
102,0.2222222222222222,0,3,0,0,0
103,0.688888888888889,1,3,0,0,1
104,0.08888888888888885,2,3,0,0,0
105,0.5555555555555556,0,3,0,0,0
106,0.15555555555555556,1,3,0,0,0
107,0.06666666666666665,1,3,0,0,1
108,0.33333333333333337,3,3,0,0,0
109,0.1333333333333333,2,3,0,1,0
110,0.888888888888889,0,3,0,0,0
111,0.37777777777777777,0,3,0,0,0
112,0.4444444444444444,0,3,0,0,0
113,0.06666666666666665,2,3,0,1,0
114,0.4444444444444444,1,3,0,0,0
115,0.4666666666666667,0,3,0,0,0
116,0.7777777777777778,1,3,0,0,0
117,0.33333333333333337,2,3,0,0,0
118,0.19999999999999996,3,3,0,1,0
119,0.7111111111111111,0,3,0,0,0
120,0.33333333333333337,0,3,0,0,0
121,0.33333333333333337,3,3,0,0,0
122,0.4444444444444444,1,3,0,0,0
123,0.888888888888889,0,3,0,0,1
124,0.08888888888888885,2,3,0,1,0
125,0.08888888888888885,2,3,0,1,0
126,0.5111111111111111,1,3,0,0,0
127,0.2222222222222222,0,3,0,0,0
128,0.4444444444444444,0,3,0,0,0
129,0.33333333333333337,1,3,0,0,0
130,0.19999999999999996,0,3,0,0,0
131,0.1111111111111111,1,3,0,0,0
132,0.5555555555555556,0,3,0,0,0
133,0.9111111111111111,0,3,0,0,0
134,0.0,1,3,0,1,1
135,0.24444444444444446,2,3,0,0,0
136,1.0,1,3,0,0,0
137,0.6444444444444445,1,3,0,0,0
138,0.0444444444444444,2,3,0,1,0
139,0.6666666666666666,1,3,0,0,0
140,0.08888888888888885,0,3,0,0,1
141,0.6222222222222222,0,3,0,0,0
142,0.15555555555555556,0,3,0,0,0
143,0.6444444444444445,1,3,0,0,0
144,0.33333333333333337,2,3,0,0,0
145,0.5333333333333333,0,3,0,0,0
146,0.5555555555555556,0,3,0,0,0
147,0.6,0,3,0,0,0
148,0.06666666666666665,2,3,0,1,0
149,0.33333333333333337,1,3,0,0,0
150,0.2222222222222222,0,3,0,0,0
151,0.7999999999999999,1,3,0,0,0
152,0.1777777777777778,3,3,0,0,0
153,0.4,0,3,0,0,0
154,0.2222222222222222,3,3,0,1,0
155,0.7777777777777778,0,3,0,0,1
156,0.6666666666666666,1,3,0,0,1
157,0.33333333333333337,3,3,0,0,0
158,0.24444444444444446,3,3,0,0,0
159,0.4444444444444444,2,3,0,0,0
160,0.37777777777777777,2,3,0,0,0
161,0.24444444444444446,2,3,0,0,0
162,0.1777777777777778,1,3,0,0,0
163,0.1111111111111111,1,3,0,0,0
164,0.15555555555555556,1,3,0,0,0
165,0.08888888888888885,1,3,0,0,0
166,0.4444444444444444,1,3,0,0,0
167,0.2222222222222222,1,3,0,0,0
168,0.7111111111111111,1,3,0,0,1
169,0.6444444444444445,1,3,0,0,0
170,0.4,1,3,0,0,0
171,0.28888888888888886,1,3,0,0,0
172,0.08888888888888885,3,3,0,1,0
173,0.4444444444444444,1,3,0,0,1
174,0.5555555555555556,1,3,0,0,1
175,0.3111111111111111,2,3,0,0,0
176,0.1111111111111111,1,3,0,0,1
177,0.24444444444444446,2,3,0,0,1
178,0.19999999999999996,2,3,0,0,0
179,0.4,2,3,0,0,1
180,0.1333333333333333,1,3,0,0,1
181,0.15555555555555556,1,3,0,0,0
182,0.1777777777777778,1,3,0,0,1
183,0.2222222222222222,1,3,0,0,1
184,0.33333333333333337,2,3,0,0,1
185,0.1777777777777778,1,3,0,0,1
186,0.28888888888888886,1,3,0,0,0
187,0.2222222222222222,1,3,0,0,1
188,0.33333333333333337,1,3,0,0,0
189,0.3111111111111111,3,3,0,0,0
190,0.6444444444444445,1,3,0,0,0
191,0.1777777777777778,2,3,0,0,0
192,0.1111111111111111,1,3,0,0,1
193,0.1333333333333333,1,3,0,0,0
194,0.08888888888888885,2,3,0,1,0
195,0.3111111111111111,2,3,0,0,1
196,0.24444444444444446,2,3,0,0,0
197,0.6444444444444445,2,3,0,0,0
198,0.15555555555555556,2,3,0,0,0
199,0.42222222222222217,1,3,0,0,0
200,0.688888888888889,1,3,0,0,1
201,0.5111111111111111,1,3,0,0,0
202,0.4,2,3,0,0,0
203,0.3111111111111111,3,3,0,0,1
204,0.42222222222222217,2,3,0,0,0
205,0.24444444444444446,2,3,0,0,0
206,0.4,2,3,0,0,0
207,0.6444444444444445,1,3,0,0,0
208,0.2222222222222222,1,3,0,0,1
209,0.4666666666666667,1,3,0,0,0
210,0.15555555555555556,2,3,0,0,0
211,0.28888888888888886,1,3,0,0,0
212,0.688888888888889,1,3,0,0,0
213,0.6,1,3,0,0,0
214,0.4,2,3,0,0,0
215,0.1333333333333333,1,3,0,0,0
216,0.19999999999999996,1,3,0,0,1
217,0.37777777777777777,3,3,0,0,1
218,0.4,1,3,0,0,0
219,0.2222222222222222,2,3,0,0,0
220,0.2222222222222222,2,3,0,0,0
221,0.3111111111111111,1,3,0,0,0
222,0.1333333333333333,2,3,0,1,0
223,0.4666666666666667,1,3,0,0,0
224,0.6444444444444445,1,3,0,0,0
225,0.3555555555555555,1,3,0,0,0
226,0.33333333333333337,2,3,0,0,0
227,0.2666666666666666,2,3,0,0,0
228,0.1111111111111111,2,3,0,0,0
229,0.19999999999999996,2,3,0,1,0
230,0.4,1,3,0,0,0
231,0.15555555555555556,2,3,0,0,0
232,0.19999999999999996,2,3,0,0,0
233,0.6,1,3,0,0,1
234,0.5111111111111111,1,3,0,0,0
235,0.28888888888888886,2,3,0,0,1
236,0.15555555555555556,2,3,0,1,0
237,0.1333333333333333,1,3,0,1,0
238,0.1777777777777778,2,3,0,0,0
239,0.42222222222222217,2,3,0,0,0
240,0.4666666666666667,1,3,0,0,0
241,0.2222222222222222,2,3,0,0,0
242,0.6666666666666666,1,3,0,0,0
243,0.3555555555555555,2,3,0,0,1
244,0.15555555555555556,2,3,0,1,0
245,0.28888888888888886,2,3,0,0,1
246,0.4666666666666667,1,3,0,0,0
247,0.5777777777777777,1,3,0,0,0
248,0.1111111111111111,2,3,0,0,0
249,0.3555555555555555,2,3,0,0,1
250,0.4666666666666667,1,3,0,0,0
251,0.3555555555555555,2,3,0,0,0
252,0.7111111111111111,1,3,0,0,0
253,0.1777777777777778,2,3,0,1,1
254,0.4666666666666667,1,3,0,0,0
255,0.5111111111111111,1,3,0,0,0
256,0.28888888888888886,2,3,0,0,0
257,0.3111111111111111,2,3,0,0,0
258,0.3555555555555555,1,3,0,0,0
259,0.6222222222222222,1,3,0,0,1
260,0.6444444444444445,1,3,0,0,0
261,0.1333333333333333,2,3,0,1,0
262,0.1111111111111111,2,3,0,0,0
263,0.1777777777777778,2,3,0,0,1
264,0.4666666666666667,1,3,0,0,0
265,0.6,1,3,0,0,0
266,0.4,1,3,0,0,0
267,0.1777777777777778,2,3,0,1,0
268,0.37777777777777777,1,3,0,0,1
269,0.7777777777777778,1,3,8,0,0
270,0.08888888888888885,2,2,1000,1,0
271,0.6666666666666666,0,3,1000,0,0
272,0.15555555555555556,2,2,1200,0,1
273,0.4,1,2,1500,0,0
274,0.33333333333333337,1,2,2000,0,0
275,0.06666666666666665,2,2,2000,1,0
276,0.2222222222222222,1,2,2000,0,0
277,0.15555555555555556,1,2,2000,0,0
278,0.19999999999999996,2,0,2000,1,0
279,0.3111111111111111,1,2,2200,0,0
280,0.1777777777777778,0,2,2500,0,0
